What is a baby chicken called?,Chick,Pup,Cub,Foal,1
Which animal has a long tail?,Bear,Monkey,Pig,Goat,2
What do butterflies drink?,Water,Nectar,Milk,Soda,2
Which animal is a mammal?,Fish,Snake,Whale,Frog,3
What is a baby pig called?,Piglet,Pup,Cub,Foal,1
Which animal has sharp teeth?,Cow,Sheep,Shark,Goat,3
What do beavers build?,Nests,Dams,Hives,Webs,2
Which animal is orange and black?,Lion,Tiger,Bear,Wolf,2
What is a baby frog called?,Pup,Tadpole,Cub,Foal,2
Which animal has big ears?,Lion,Elephant,Bear,Wolf,2
What do goats eat?,Meat,Fish,Grass,Insects,3
Which animal is a rodent?,Cat,Dog,Rat,Bear,3
What is a baby goat called?,Kid,Pup,Cub,Foal,1
Which animal has a horn?,Lion,Rhino,Bear,Wolf,2
What do horses eat?,Meat,Fish,Hay,Insects,3
Which animal is a amphibian?,Dog,Cat,Frog,Bear,3
